sold_to_group,sold_to,sold_to_name,ship_to_state,ship_to,ship_to_name,address,bde_state,salesman_id,salesman_name,longitude,latitude
AHD,724322,JUKES & SONS TYRE CENTRE,NSW,724322,JUKES & SONS TYRE CENTRE,306 FROME STREET,NSW,61600775,LUTTRELL STEVE,149.8432213,-29.4718674
AHD,724329,MACKS AUTO & TYRE CENTRE,NSW,724329,MACKS AUTO & TYRE CENTRE,90 SHARP STREET,NSW,61601123,Cummings Mark,149.1274041,-36.2346297
AHD,724336,McGUIRKS DISCOUNT TYRE SERVICE,NSW,724336,McGUIRKS DISCOUNT TYRE SERVICE,92 HOSKINS STREET,NSW,61600997,Hamid Jallis,147.5314978,-34.4424781
AHD,724379,SINGLETON TYRE,NSW,724379,SINGLETON TYRE,7-9 CAMPBELL STREET,NSW,61600775,LUTTRELL STEVE,151.172836,-32.561104
AHD,724380,SMITTYS TYRES P/L,NSW,724380,SMITTYS TYRES P/L,145 BRIDGE STREET,NSW,61600775,LUTTRELL STEVE,150.9123608,-31.0948132
AHD,724398,TYRE & WHEEL(NS),NSW,724398,TYRE & WHEEL(NS),934-936 VICTORIA ROAD,NSW,61601123,Cummings Mark,151.0930561,-33.8100062
AHD,724408,TYRESMART AUTO,NSW,724408,TYRESMART AUTO,12 EMILY STREET,NSW,61601123,Cummings Mark,151.108456,-33.845155
AHD,724410,VALLEY TYRES - EAST MAITLAND,NSW,724410,VALLEY TYRES - EAST MAITLAND,4 EMERALD STREET (P.O BOX 570),NSW,61600775,LUTTRELL STEVE,151.5801342,-32.7461391
AHD,724577,CORBETTS TYRE & BATTERY CENTRE,NSW,724577,CORBETTS TYRE & BATTERY CENTRE,314 BOOROWA STREET,NSW,61600997,Hamid Jallis,148.2857506,-34.3103918
AHD,724817,COASTAL TYRE SERVICE,NSW,724817,COASTAL TYRE SERVICE,249 THE ENTRANCE ROAD,NSW,61600775,LUTTRELL STEVE,151.3879083,-33.4340386
AHD,725203,CLARENCE VALLEY TYRE CENTRE PTY LTD,NSW,725203,CLARENCE VALLEY TYRE CENTRE PTY LTD,1A SPRING STREET,NSW,61600775,LUTTRELL STEVE,152.9416999,-29.7057629
AHD,725468,SPECIALIST TYRE & EXHAUST CENTRE PL,NSW,725468,SPECIALIST TYRE & EXHAUST CENTRE PL,37 CURRANS ROAD,NSW,61600775,LUTTRELL STEVE,151.4760593,-33.0734512
AHD,725830,TOP TEN TYRE,NSW,725830,TOP TEN TYRE,28 THE HORSLEY DRIVE,NSW,61600997,Hamid Jallis,150.9675796,-33.8866376
AHD,726574,LITHGOW TYRE SERVICE,NSW,726574,LITHGOW TYRE SERVICE,178 HARTLEY VALLEY ROAD,NSW,61600997,Hamid Jallis,150.176174,-33.477427
AHD,726873,PITTWATER TYRES,NSW,726873,PITTWATER TYRES,105 DARLEY STREET,NSW,61601123,Cummings Mark,151.3036839,-33.6738198
AHD,727908,TRIDENT TYRE CENTRES P/L,SA,727908,TRIDENT TYRE CENTRES P/L,12-16 BAY ROAD,SA,61600951,Gultjaeff Jason,140.7796501,-37.8298496
AHD,728289,SA MOTORSPORT TYRES,SA,728289,SA MOTORSPORT TYRES,91 HARRISON ROAD,SA,61600951,Gultjaeff Jason,138.5763307,-34.8832787
AHD,729723,ALL COAST TYRE SOLUTIONS,QLD,729723,ALL COAST TYRE SOLUTIONS,17 PIONEER RD,QLD,61600992,Spires Steven,152.9606827,-26.5567633
AHD,730273,ROAD RUBBER TYRE SERVICE,NSW,730273,ROAD RUBBER TYRE SERVICE,452 ATKINS STREET,VIC,61600996,Bellotto Nicola,146.9192421,-36.0932835
AHD,731641,MAG WHEEL TYRE P/L,VIC,731641,MAG WHEEL TYRE P/L,102 CHIFLEY DR,VIC,61600996,Bellotto Nicola,145.030866,-37.743674
AHD,731715,TONY'S TYRE CENTRE,VIC,731715,TONY'S TYRE CENTRE,7 RYAN COURT,VIC,61600996,Bellotto Nicola,145.9219967,-38.1577098
AHD,731874,SAPPHIRE CITY TYRES P/L,NSW,731874,SAPPHIRE CITY TYRES P/L,33 OLIVER ST,NSW,61600775,LUTTRELL STEVE,151.1164208,-29.7722725
AHD,731976,TYREPLUS EASTLAND,VIC,731976,TYREPLUS EASTLAND,65 BOND STREET,VIC,61600996,Bellotto Nicola,145.2206826,-37.8142378
AHD,731996,CENTRAL TYRE SERVICE SHEPPARTON,VIC,731996,CENTRAL TYRE SERVICE SHEPPARTON,117 WELSFORD ST,VIC,61600996,Bellotto Nicola,145.3983346,-36.3799611
AHD,732131,CITY & RURAL TYRES,VIC,732131,CITY & RURAL TYRES,200 CHESTERVILLE RD,VIC,61600996,Bellotto Nicola,145.0595544,-37.9460437
AHD,732356,ROMSEY AUTO CARE P/L,VIC,732356,ROMSEY AUTO CARE P/L,1/33 MAIN STREET,VIC,61601007,Bilston Kelley,144.7431269,-37.3573107
AHD,732426,D & A SPRING,VIC,732426,D & A SPRING,17 WINTER STREET,VIC,61601007,Bilston Kelley,141.6907678,-37.5990788
AHD,732451,RIVIERA TYRE SERVICE P/L,VIC,732451,RIVIERA TYRE SERVICE P/L,23 CAMPBELL DRIVE,VIC,61600996,Bellotto Nicola,147.5993731,-37.8365866
AHD,732458,CENTRAL TYRE SERVICE,QLD,732458,CENTRAL TYRE SERVICE,9 ROBERT STREET,QLD,61601120,Maclure Adam,145.475695,-17.268924
AHD,732588,B.M.A AUTOMOTIVE REPAIRS,NSW,732588,B.M.A AUTOMOTIVE REPAIRS,LOT 7 LONG STREET,NSW,61600997,Hamid Jallis,148.733463,-34.4284959
AHD,732590,DJ'S TYRES,NSW,732590,DJ'S TYRES,LOT 4 BOMEN ROAD,NSW,61601123,Cummings Mark,147.4029139,-35.071919
AHD,732643,TRANSPORT TYRES,VIC,732643,TRANSPORT TYRES,112 WHITELAW AVENUE,VIC,61601007,Bilston Kelley,143.8176171,-37.5790746
AHD,732762,REDPATH TYRE AND BATTERY SERVICE,VIC,732762,REDPATH TYRE AND BATTERY SERVICE,28 DERBY ROAD,VIC,61601007,Bilston Kelley,143.7287839,-37.0556245
AHD,732868,BENDIGO TYRE CENTRE,VIC,732868,BENDIGO TYRE CENTRE,4A WOOD STREET,VIC,61601007,Bilston Kelley,144.266798,-36.7397052
AHD,733197,KOSTERA'S TYRE SERVICE,WA,733197,KOSTERA'S TYRE SERVICE,7 MEAD STREET,WA,61600247,Fruci Davide,116.0593975,-31.9735152
AHD,733416,MAX WILSON TYRES & BATTERIES P/L,VIC,733416,MAX WILSON TYRES & BATTERIES P/L,24 NOLAN STREET,VIC,61601007,Bilston Kelley,143.9169405,-35.73332
AHD,734210,HICKEY'S DISCOUNT TYRES,NSW,734210,HICKEY'S DISCOUNT TYRES,63 PACIFIC HWY,NSW,61600775,LUTTRELL STEVE,153.0123538,-30.5019651
AHD,734353,HUNTER HOLDEN,NSW,734353,HUNTER HOLDEN,603 VICTORIA ROAD,NSW,61601123,Cummings Mark,151.1127408,-33.8167787
AHD,734834,GOODYEAR AUTO CARE WARRNAMBOOL,VIC,734834,GOODYEAR AUTO CARE WARRNAMBOOL,537 RAGLAN PARADE,VIC,61601007,Bilston Kelley,142.486459,-38.381379
AHD,734903,CRAWFO'S TYRES,QLD,734903,CRAWFO'S TYRES,90 CHARLES ST,QLD,61601120,Maclure Adam,148.7923896,-26.5744515
AHD,735189,VELOCITY TYRE & AUTO PTY LTD,VIC,735189,VELOCITY TYRE & AUTO PTY LTD,UNIT 51 14 PANAMAX DRIVE,VIC,61601007,Bilston Kelley,144.7463916,-37.7604604
AHD,736139,RICHMOND VALLEY TYRES,NSW,736139,RICHMOND VALLEY TYRES,97 CENTRE ST,QLD,61601084,Sampson Kieren,153.0444305,-28.8712291
AHD,736187,PICTON TYRE CENTRE PTY LTD,WA,736187,PICTON TYRE CENTRE PTY LTD,16 OLIVE COURT,WA,60020059,Gilbert Michael,115.6784093,-33.3536425
AHD,736242,MANJIMUP TYRE MART & AUTO,WA,736242,MANJIMUP TYRE MART & AUTO,142 GIBLETT,WA,60020059,Gilbert Michael,116.1484728,-34.2379371
AHD,736362,JUST GEORGE FOR TYRES,WA,736362,JUST GEORGE FOR TYRES,5 SANFORD RD,WA,60020059,Gilbert Michael,117.8795282,-35.017197
AHD,736525,MIDVALE DISCOUNT TYRES,WA,736525,MIDVALE DISCOUNT TYRES,50 FARRALL RD,WA,61600247,Fruci Davide,116.0338049,-31.889743
AHD,736532,BROOKE DISCOUNT TYRE SERVICE,WA,736532,BROOKE DISCOUNT TYRE SERVICE,LOT 2441 GREAT NORTHERN HWY,WA,61600247,Fruci Davide,116.0319587,-31.679791
AHD,736634,COOLGARDIE TYRE SERVICE,WA,736634,COOLGARDIE TYRE SERVICE,6 PAULEY COURT,WA,61600247,Fruci Davide,121.4920043,-30.7758095
AHD,737246,GOLDSTAR TYRES AND BATTERIES,SA,737246,GOLDSTAR TYRES AND BATTERIES,30 GLEBE RD,SA,61600951,Gultjaeff Jason,138.8271197,-34.9934167
AHD,737469,BRIDGESTONE SERVICE CENTRE BATHURST,NSW,737469,BRIDGESTONE SERVICE CENTRE BATHURST,65 GEORGE ST,NSW,61600997,Hamid Jallis,149.5810554,-33.4148715
AHD,737616,EXACT ALIGN,SA,737616,EXACT ALIGN,46 STURT STREET,SA,61600951,Gultjaeff Jason,140.7850654,-37.8323098
AHD,737722,O'NEILLS TYRES MAITLAND,NSW,737722,O'NEILLS TYRES MAITLAND,61 MELBOURNE STREET,NSW,61600775,LUTTRELL STEVE,151.582777,-32.7452888
AHD,737817,JUNCTION TYRE AUTO SERVICE,VIC,737817,JUNCTION TYRE AUTO SERVICE,33 SWANSTON STREET,VIC,61600996,Bellotto Nicola,145.0658017,-37.9774608
AHD,737958,GOODYEAR AUTOCARE COFFS HARBOUR,NSW,737958,GOODYEAR AUTOCARE COFFS HARBOUR,193-195 ORLANDO STREET,NSW,61600775,LUTTRELL STEVE,153.1266304,-30.284945
AHD,738162,HIGHLANDS TYREMASTERS P/L,NSW,738162,HIGHLANDS TYREMASTERS P/L,51-59 MAIN ST,NSW,61600997,Hamid Jallis,150.4501442,-34.4499577
AHD,739205,THE WHEEL SHOP,VIC,739205,THE WHEEL SHOP,113 ELGAR ROAD,VIC,61601007,Bilston Kelley,144.7729616,-37.7896644
AHD,739425,BELLBIRD TYRES BLACKTOWN,NSW,739425,BELLBIRD TYRES BLACKTOWN,160 MAIN STREET,NSW,61600775,LUTTRELL STEVE,150.9131161,-33.7729426
AHD,739519,WINCHELSEA AUTO SERVICE,VIC,739519,WINCHELSEA AUTO SERVICE,6 ALSOP DRIVE,VIC,61601007,Bilston Kelley,143.977395,-38.2445509
AHD,739535,SURAT TYRE SERVICE,QLD,739535,SURAT TYRE SERVICE,62 ALEXANDER STREET,QLD,61601120,Maclure Adam,149.0672313,-27.158845
AHD,742268,TUFF TYRE WANGARATTA,VIC,742268,TUFF TYRE WANGARATTA,22 NEWMAN STREET,VIC,61600996,Bellotto Nicola,146.3106761,-36.3659487
AHD,742364,CAIRNS PITSTOP,QLD,742364,CAIRNS PITSTOP,136 SPENCE ST,QLD,61601120,Maclure Adam,145.7696432,-16.9291808
AHD,742667,CANOWINDRA TYRE SERVICE,NSW,742667,CANOWINDRA TYRE SERVICE,67 Rodd Street,NSW,61600997,Hamid Jallis,148.6708454,-33.5509552
AHD,A000037,LEEUWIN TYRES,WA,A000037,LEEUWIN TYRES,6 AUGER WAY,WA,60020059,Gilbert Michael,115.0707632,-33.9653276
AHD,A001288,ST GEORGE TYRES PTY LTD,NSW,A001288,ST GEORGE TYRES PTY LTD,218 PRINCES HWY,NSW,61600997,Hamid Jallis,151.1447345,-33.9421758
AHD,A001641,M & C TYRES,VIC,A001641,M & C TYRES,259 HIGH STREET,VIC,61601007,Bilston Kelley,144.241569,-36.8078051
AHD,A002093,BOYDYS MECHANICAL PTY LTD,NSW,A002093,BOYDYS MECHANICAL PTY LTD,UNIT 1 15 BON MACE CLOSE,NSW,61600775,LUTTRELL STEVE,151.4414622,-33.3578644
AHD,A003109,BLACKSTONE TYRES,VIC,A003109,BLACKSTONE TYRES,2/6 PRINCES HWY,VIC,61600996,Bellotto Nicola,145.2287588,-38.0003778
AHD,A004109,EAST PILBARA TYRES,WA,A004109,EAST PILBARA TYRES,30 PARDOO STREET,WA,61600247,Fruci Davide,119.7263327,-23.3699691
AHD,A005270,COASTAL MECHANICAL SERVICES,NSW,A005270,COASTAL MECHANICAL SERVICES,UNIT 1-4 14 ANGOURIE ROAD,NSW,61600775,LUTTRELL STEVE,153.351247,-29.4394954
AHD,A005553,OUYEN TYRE CENTRE,VIC,A005553,OUYEN TYRE CENTRE,2 PICKERING STREET,VIC,61601007,Bilston Kelley,142.3168347,-35.0703047
AHD,A005944,JB TYRES PLUS,NSW,A005944,JB TYRES PLUS,3/4 ERINA ROAD,NSW,61601123,Cummings Mark,150.6616681,-35.029551
AHD,A006489,HAY TYRE + BATTERY SERVICE,NSW,A006489,HAY TYRE + BATTERY SERVICE,379 MOAMA STREET,NSW,61601123,Cummings Mark,144.8453984,-34.519702
AHD,A006776,DORES GOODYEAR TULLY,QLD,A006776,DORES GOODYEAR TULLY,3/19 BRUCE HIGHWAY,QLD,61601120,Maclure Adam,145.9326477,-17.9355714
AHD,A007188,JAPPO DONKS TYRES WHEELS & BATTERIE,VIC,A007188,JAPPO DONKS TYRES WHEELS & BATTERIE,48 HOVELL STREET,VIC,61600996,Bellotto Nicola,146.8941303,-36.1167397
AHD,A007192,THG TIRES,QLD,A007192,THG TIRES,83 HANSON ROAD,QLD,61600992,Spires Steven,151.2433226,-23.8406509
AHD,A007335,ROUNDABOUT TYRE AND AUTO,NSW,A007335,ROUNDABOUT TYRE AND AUTO,182-184 BARHAM ROAD,VIC,61600996,Bellotto Nicola,144.9488235,-35.5354805
AHD,A007888,COMBINED TYRES CUNDERDIN,WA,A007888,COMBINED TYRES CUNDERDIN,5 WEST MAIN STREET,WA,61600247,Fruci Davide,117.2340113,-31.650698
AHD,A008086,TYRE MART AND SERVICES,VIC,A008086,TYRE MART AND SERVICES,2/63 AMBERLY CRESENT,VIC,61601007,Bilston Kelley,145.2147441,-38.00319
AHD,A008223,RUTHERFORD MOTORS,NSW,A008223,RUTHERFORD MOTORS,128 NEW ENGLAND HWY,NSW,61600775,LUTTRELL STEVE,151.5389928,-32.7207118
AHD,A008364,QUIRINDI TYRE SERVICE,NSW,A008364,QUIRINDI TYRE SERVICE,30 Whittaker Street,NSW,61600775,LUTTRELL STEVE,150.6771055,-31.5129898
AHD,A008418,AUTOSPORT TYRE WORLD MAGILL,SA,A008418,AUTOSPORT TYRE WORLD MAGILL,647 MAGILL ROAD,SA,61600951,Gultjaeff Jason,138.6788976,-34.9126074
AHD,A008667,GP SERVICE AND DISCOUNT TYRES,VIC,A008667,GP SERVICE AND DISCOUNT TYRES,7 BENNETTS ROAD,VIC,61600996,Bellotto Nicola,145.0479506,-38.2306808
AHD,A008840,DJ'S TYRE CENTRE,QLD,A008840,DJ'S TYRE CENTRE,32 MORETON STREET,QLD,61600992,Spires Steven,151.1216437,-25.3695724
AHD,A008995,COPPER CITY TYRE SERVICE,NSW,A008995,COPPER CITY TYRE SERVICE,5 LEWIS STREET,NSW,61600997,Hamid Jallis,145.8407631,-31.4968191
