ship_to	Channel	Customer group 3	Sold-to	Sold-to Name	Ship-to State	Ship-to	Name	BDE State	Salesman Name	Longitude	Latitude	_coords_fall_in	Address	City	correct_lat	correct_lng	coord_status	confidence	expected_state	note
A029690	Ind.Retailer	AHD	A029690	EDISVOLD TYRE SOLUTIONS	QLD	A029690	EDISVOLD TYRE SOLUTIONS	QLD	Spires Steven	151.623213	-32.9505732	NSW	32 MORETON STREET	EIDSVOLD	-25.373000	151.121000	WRONG_COORD	suburb	QLD	Eidsvold QLD (North Burnett)
A029640	ETC		Others	Others	VIC	A029640	RAPID TUNE MOORABBIN	QLD	Maclure Adam	151.108456	-33.845155	NSW	435 WARRIGAL ROAD	MOORABBIN	-37.967000	145.054000	WRONG_COORD	street	VIC	Moorabbin VIC (Melbourne SE); Warrigal Rd is a main road
A030361	Fixed		728218	GARY'S MOTORSPORT TYRES P/L	SA	A030361	GARYS MS WAIKERIE TYREPOWER	SA	Gultjaeff Jason	151.9030938	-27.9363635	QLD	26 LAWRIE TERRACE	WAIKERIE	-34.182000	139.984000	WRONG_COORD	suburb	SA	Waikerie SA (Riverland)
731634	MFC	AMM	731634	GOOD DEAL TYRES P/L	VIC	731634	GOOD DEAL TYRES P/L	SA	Gultjaeff Jason	142.1671029	-34.206458	NSW	498 BENETOOK AVE	MILDURA	-34.213000	142.166000	COORD_OK	street	NSW	Mildura VIC — coords correct; BDE=SA is regional grouping (Riverland covers Mildura)
735533	NFC		735364	DISCOUNT TYRE AND WHEEL P/L	VIC	735533	BOB JANE-MILDURA	SA	Gultjaeff Jason	142.137436	-34.2080883	NSW	852 FIFTEENTH ST	MILDURA	-34.207000	142.140000	COORD_OK	street	NSW	Mildura VIC — coords correct; same regional grouping
A022148	Fixed		738270	STATE TYRE SERVICE	QLD	A022148	STATE TYRE SERVICES MT ISA	SA	Gultjaeff Jason	139.4982553	-20.7016987	QLD	13 RYAN ROAD	MOUNT ISA	-20.722000	139.490000	COORD_OK	street	QLD	Mount Isa QLD — coords correct; BDE=SA is the error
A023018	Fixed		738270	STATE TYRE SERVICE	WA	A023018	CENTURION TRANSPORT FABRICATION BAY	SA	Gultjaeff Jason	116.0036836	-31.9239081	WA	13 YAGINE CLOSE	PERTH AIRPORT	-31.926000	116.005000	COORD_OK	street	WA	Perth Airport WA — coords correct; BDE=SA is the error
A004325	Car Dealer		A004218	VOLKSWAGEN GROUP AUSTRALIA PTY LTD	VIC	A004325	VW - MILDURA	SA	Gultjaeff Jason	142.1536171	-34.2219807	NSW	588 FIFTEENTH STREET	MILDURA	-34.207000	142.157000	COORD_OK	street	NSW	Mildura VIC — coords correct; regional grouping
A007127	Closed		A007184	TYREPOWER REGION A	VIC	A007127	DNU CASH TYRE SERVICE TYREPOWER -	SA	Gultjaeff Jason	142.1619668	-34.1878312	NSW	86-88 MADDEN AVENUE	MILDURA	-34.187000	142.162000	COORD_OK	street	NSW	Mildura VIC — coords correct; regional grouping
A028865	NFC		A007184	TYREPOWER REGION A	VIC	A028865	TYREPOWER MILDURA	SA	Gultjaeff Jason	142.1619668	-34.1878312	NSW	86-88 MADDEN AVE	MILDURA	-34.187000	142.162000	COORD_OK	street	NSW	Mildura VIC — coords correct; regional grouping
A018839	Ind.Retailer	AKD	A018839	TYRES AND MORE RED CLIFFS	VIC	A018839	TYRES AND MORE RED CLIFFS	SA	Gultjaeff Jason	142.1856428	-34.303227	NSW	2 NARDOO STREET	RED CLIFFS	-34.303000	142.183000	COORD_OK	street	NSW	Red Cliffs VIC (near Mildura) — coords correct
A029689	Ind.Retailer	AHD	A029689	NARACOORTE TRUCK & BUS	SA	A029689	NARACOORTE TRUCK & BUS	SA	Gultjaeff Jason	151.7051638	-32.8727108	NSW	43-45 SMITH STREET	NARACOORTE	-36.959000	140.741000	WRONG_COORD	suburb	SA	Naracoorte SA (SE region) — geocoder hit Newcastle NSW
A029906	Ind.Retailer	AHD	A029906	GOODYEAR AUTOCARE NOARLUNGA	SA	A029906	GOODYEAR AUTOCARE NOARLUNGA	SA	Gultjaeff Jason	153.1944297	-27.7147667	QLD	10 GOLDSMITH DR	NOARLUNGA CENTRE	-35.143000	138.487000	WRONG_COORD	suburb	SA	Noarlunga Centre SA (S Adelaide) — geocoder hit Gold Coast QLD
A029908	Ind.Retailer	AHD	A029908	AUTOSPORT TYREWORLD CLARENCE GARDEN	SA	A029908	AUTOSPORT TYREWORLD CLARENCE GARDEN	SA	Gultjaeff Jason	151.7051638	-32.8727108	NSW	911 SOUTH RD	CLARENCE GARDENS	-34.967000	138.587000	WRONG_COORD	suburb	SA	Clarence Gardens SA (S Adelaide) — geocoder hit Newcastle NSW
A029756	Fixed		728218	GARY'S MOTORSPORT TYRES P/L	VIC	A029756	GARYS MS TYRECHOICE	VIC	Hobkirk Calvin	151.0931291	-33.817488	NSW	252 MCINTYRE RD	SUNSHINE NORTH	-37.771000	144.836000	WRONG_COORD	suburb	VIC	Sunshine North VIC (Melbourne NW)
A029948	Fixed		728218	GARY'S MOTORSPORT TYRES P/L	VIC	A029948	GARYS MS TYRE TREAD	VIC	Hobkirk Calvin	151.0931291	-33.817488	NSW	115 GREENS RD	DANDENONG SOUTH	-38.011000	145.214000	WRONG_COORD	suburb	VIC	Dandenong South VIC (Melbourne SE)
A031061	Fixed		728218	GARY'S MOTORSPORT TYRES P/L	VIC	A031061	GARYS MS TYREPOWER BENALLA	VIC		151.7051638	-32.8727108	NSW	41 CHURCH ST	BENALLA	-36.553000	145.978000	WRONG_COORD	suburb	NSW	Benalla VIC (NE regional)
A031273	Fixed		728218	GARY'S MOTORSPORT TYRES P/L	VIC	A031273	GARYS MS BOB JANE HOBART	VIC		153.5557986	-28.8478941	NSW	246 HARRINGTON ST	HOBART	-42.881000	147.328000	WRONG_COORD	street	TAS	Hobart TAS — shop name 'BOB JANE HOBART' confirms TAS, not VIC
A028332	Fixed		728218	GARY'S MOTORSPORT TYRES P/L	SA	A028332	GARYS MS TYRE POWER BLACKWOOD	VIC	Hobkirk Calvin	138.6168983	-35.0172881	SA	205 MAIN RD	BLACKWOOD	-35.018000	138.621000	COORD_OK	street	SA	Blackwood SA (Adelaide hills) — coords correct; BDE=VIC is the error
A030532	Ind.Retailer		A021326	GOODYEAR AUTOCARE ESSENDON	VIC	A030532	GOODYEAR AUTOCARE CRANBOURNE	VIC	Bellotto Nicola	114.6134211	-28.7710917	WA	194 HIGH ST	CRANBOURNE	-38.098000	145.281000	WRONG_COORD	suburb	VIC	Cranbourne VIC (Melbourne SE) — geocoder hit Geraldton WA
A022505	Closed		A022113	GOODYEAR AUTOCARE DONCASTER	SA	A022505	DNU GOODYEAR AUTOCARE ADELAIDE	VIC		138.5937564	-34.9307776	SA	145 GOUGER ST	ADELAIDE	-34.931000	138.594000	COORD_OK	street	SA	Adelaide CBD SA — coords correct; BDE=VIC is the error
A023434	Fixed		A023431	STARCORP INVENTORY	SA	A023434	TEMPE TYRES ADELAIDE	VIC	Hobkirk Calvin	138.5730622	-34.8579181	SA	25 NAWEENA RD	REGENCY PARK	-34.858000	138.572000	COORD_OK	street	SA	Regency Park SA — coords correct; BDE=VIC is the error
A030866	Ind.Retailer		A027178	RIPPLET INVESTMENT PTY LTD	VIC	A030866	VRT THE TYRE FACTORY	VIC	Hobkirk Calvin	151.9030938	-27.9363635	QLD	69 LONSDALE ST	DANDENONG	-37.987000	145.215000	WRONG_COORD	suburb	VIC	Dandenong VIC (Melbourne SE)
A029806	Ind.Retailer	AHD	A029806	TYREPLUS PRESTON (NORTHERN BM)	VIC	A029806	TYREPLUS PRESTON (NORTHERN BM)	VIC	Bilston Kelley	153.0187637	-27.5292676	QLD	UNIT 2 72-74 CHIFLEY DR	PRESTON	-37.742000	145.001000	WRONG_COORD	street	VIC	Preston VIC (Melbourne north)
A029985	Ind.Retailer	AHD	A029985	WATER WHEEL TYRE CENTER	VIC	A029985	WATER WHEEL TYRE CENTER	VIC	Bellotto Nicola	153.5557986	-28.8478941	NSW	103 ROSS ST	TATURA	-36.434000	145.230000	WRONG_COORD	suburb	NSW	Tatura VIC (Goulburn Valley)
A028518	ETC		Others	Others	SA	A028518	COD NAILSWORTH TYRE CENTRE	VIC	Hobkirk Calvin	138.6031506	-34.8806744	SA	2 JONES ST	NAILSWORTH	-34.886000	138.602000	COORD_OK	street	SA	Nailsworth SA (Adelaide) — coords correct; BDE=VIC is the error
A031195	NFC		A014347	TYREPOWER MARKETING WA	WA	A031195	TYREPOWER HARRISDALE	WA	DAIS Jim	145.1409458	-37.7862105	VIC	747 RANFORD RD	HARRISDALE	-32.122000	115.928000	WRONG_COORD	suburb	WA	Harrisdale WA (Perth SE) — geocoder hit Glen Iris VIC
A029642	Ind.Retailer		A025704	TYROOLA INTERNATIONAL PTY LTD	WA	A029642	SHAMROCK TYRES AND MECHANICAL	WA	DAIS Jim	153.0956689	-27.4319639	QLD	216 A STUBBS TERRACE	SHENTON PARK	-31.952000	115.799000	WRONG_COORD	suburb	WA	Shenton Park WA (Perth W) — geocoder hit Brisbane QLD
A030036	Ind.Retailer	AKD	A030036	WELSHPOOL TYRES	WA	A030036	WELSHPOOL TYRES	WA	DAIS Jim	152.8823949	-27.6516902	QLD	33 WELSHPOOL RD	WELSHPOOL	-31.989000	115.948000	WRONG_COORD	street	WA	Welshpool WA (Perth SE) — geocoder hit Brisbane QLD
