Name,Replied,Status
2026 Hankook Agreement_Gold_COONAWARRA MECHANICAL SERVICES PTY (A027783),4 / 6,Pending
2026 Hankook Agreement_Gold_THE TYRE HUB (A024644),6 / 6,Completed
2026 Hankook Agreement_Gold_WIDETREAD TYRES (A023386),6 / 6,Completed
2026 Hankook Agreement_Gold_G&S TYRES (A023302),6 / 6,Completed
2026 Hankook Agreement_Gold_DUNLOP SD SWAN HILL PTY LTD (A022996),4 / 6,Pending
2026 Hankook Agreement_Gold_WODONGA TYRE & AUTO (A022876),6 / 6,Completed
2026 Hankook Agreement_Gold_TYRE SOLUTION (A022738),6 / 6,Completed
2026 Hankook Agreement_Gold_MARVEL TYRES AND AUTOPARTS (A022604),6 / 6,Completed
2026 Hankook Agreement_Gold_DROUIN TYRE AND BATTERY SERVICE (A022540),4 / 6,Pending
2026 Hankook Agreement_Gold_MCKENZIE TYRES (A022537),6 / 6,Completed
2026 Hankook Agreement_Gold_NATIONAL FLEET TYRES (A022518),4 / 6,Pending
2026 Hankook Agreement_Gold_VERMONT SOUTH AUTOCARE (A022501),6 / 6,Completed
2026 Hankook Agreement_Gold_BENDIGO TYRE AND AUTO (A022426),4 / 6,Pending
2026 Hankook Agreement_Gold_GOODYEAR ROCKHAMPTON (A022298),4 / 6,Pending
2026 Hankook Agreement_Gold_YORK ST TYRE & AUTO (A022297),4 / 6,Pending
2026 Hankook Agreement_Gold_GOODYEAR NORTH LAKES (A022257),6 / 6,Completed
2026 Hankook Agreement_Gold_RETYRE KUNDA PARK (A022253),6 / 6,Completed
2026 Hankook Agreement_Gold_BRIDGESTONE SELECT BARINGA (A022186),6 / 6,Completed
2026 Hankook Agreement_Gold_GOODYEAR AUTOCARE DONCASTER (A022113),6 / 6,Completed
2026 Hankook Agreement_Gold_GOLD COAST TYRE & AUTO (A021829),6 / 6,Completed
2026 Hankook Agreement_Gold_ORANGE TYRE SHOP (A021760),5 / 5,Completed
2026 Hankook Agreement_Gold_HTR OPERATIONS PTY LTD (A021759),4 / 6,Pending
2026 Hankook Agreement_Gold_CHAPEL AUTOMOTIVE (A021635),6 / 6,Completed
2026 Hankook Agreement_Gold_GOODYEAR AUTOCARE BURWOOD (A021613),6 / 6,Completed
2026 Hankook Agreement_Gold_AUTO BOYS (A021490),4 / 6,Pending
2026 Hankook Agreement_Gold_GOODYEAR AUTOCARE MALVERN (A021460),6 / 6,Completed
2026 Hankook Agreement_Gold_GOODYEAR AUTOCARE CLEVELAND (A021403),6 / 6,Completed
2026 Hankook Agreement_Gold_TYRE TREAD DANDENONG (A021402),4 / 6,Pending
2026 Hankook Agreement_Gold_GOODYEAR AUTOCARE ESSENDON (A021326),6 / 6,Completed
2026 Hankook Agreement_Gold_AZZAS TYRES (A020968),6 / 6,Completed
2026 Hankook Agreement_Gold_MITCHAM TYRE & AUTO (A020888),4 / 6,Pending
2026 Hankook Agreement_Gold_QUEENSLAND TRANSPORT SUPPLIES PTY L (A020881),6 / 6,Completed
2026 Hankook Agreement_Gold_JAX TYRES & AUTO ORANGE (A020046),3 / 5,Pending
2026 Hankook Agreement_Gold_GOODYEAR BAYSWATER (A019777),6 / 6,Completed
2026 Hankook Agreement_Gold_FAST FREDDIES TYRE SERVICE (A019549),6 / 6,Completed
2026 Hankook Agreement_Gold_ROBINVALE TYRE AND BATTERY SERVICE (A018751),6 / 6,Completed
2026 Hankook Agreement_Gold_POWERTUNE WHEELS AND TYRES (A016464),6 / 6,Completed
2026 Hankook Agreement_Gold_TYRES AND MORE - KYOGLE (A015932),4 / 6,Pending
2026 Hankook Agreement_Gold_ALLROUND WHEELS AND TYRES (A015059),6 / 6,Completed
2026 Hankook Agreement_Gold_ULTIMATE TYRE SERVICE P_L (A013969),6 / 6,Completed
2026 Hankook Agreement_Gold_ADELAIDE INDEPENDENT BANDAG (A010462),6 / 6,Completed
2026 Hankook Agreement_Gold_SE WHEEL ALIGNMENT & TYRE SERVICE (A010021),4 / 6,Pending
2026 Hankook Agreement_Gold_DORES GOODYEAR TULLY (A006776),6 / 6,Completed
2026 Hankook Agreement_Gold_CAIRNS PITSTOP (742364),4 / 6,Pending
2026 Hankook Agreement_Gold_COMMERCIAL TYRES (736432),6 / 6,Completed
2026 Hankook Agreement_Gold_WILLS TYRES & MECHANICAL (734921),5 / 5,Completed
2026 Hankook Agreement_Gold_MICHELIN SERVICE CENTRE (732208),4 / 6,Pending
2026 Hankook Agreement_Gold_AAA TYRE FACTORY (724579),5 / 5,Completed
2026 Hankook Agreement_Diamond_STATE TYRE SERVICE (738270),4 / 6,Pending
2026 Hankook Agreement_Diamond__TYREMAX (A024737),6 / 6,Completed
2026 Hankook Agreement_Diamond__MOBILE TYRE SHOP (A005271),6 / 6,Completed
2026 Hankook Agreement_Diamond__MOTORSPORT WHEELS & TYRES (732209),6 / 6,Completed
2026 Hankook Agreement_Diamond__WEST CITY TYRES (731711),5 / 5,Completed
1 / 1	Completed,1 / 1,Completed
2026 Hankook Agreement_Gold__RIPPLET INVESTMENT PTY LTD (A027178)_60 days,4 / 6,Pending
2026 Hankook Agreement_Gold__KEMPSEY TYRE SERVICE PTY LTD (A010307)_60 days,6 / 6,Completed
2026 Hankook Agreement_Gold__MARATHON TYRES PTY LTD (100142)_60 days,6 / 6,Completed
2026 Hankook Agreement_Gold__ALL TYRES AUSTRALIA (A028116),6 / 6,Completed
2026 Hankook Agreement_Gold__SUPERIOR TYRE WHOLESALERS P_L (A015161),4 / 6,Pending
2026 Hankook Agreement_Gold__GRAMPIANS TYRE SERVICE (A014585),4 / 6,Pending
2026 Hankook Agreement_Gold__WALCHA TYRE SERVICE (A014439),6 / 6,Completed
2026 Hankook Agreement_Gold__GOODYEAR AUTOCARE BENDIGO (A014267),4 / 6,Pending
2026 Hankook Agreement_Gold__HASTINGS WHEELS AND TYRES (A013829),6 / 6,Completed
2026 Hankook Agreement_Gold__JTP TYRE SERVICE (A013576),4 / 6,Pending
2026 Hankook Agreement_Gold__TYRES FOR TRUCKS (A013574),6 / 6,Completed
2026 Hankook Agreement_Gold__DALBY TYRES (A013560),6 / 6,Completed
2026 Hankook Agreement_Gold__ROYAL TYRE SA (A013398),6 / 6,Completed
2026 Hankook Agreement_Gold__LANDSBOROUGH TYRES SERVICE (A013090),6 / 6,Completed
2026 Hankook Agreement_Gold__PURDIES TYRES (A028110),6 / 6,Completed
2026 Hankook Agreement_Gold__ONSITE TYRE SOLUTIONS (A028006),6 / 6,Completed
2026 Hankook Agreement_Gold__ROGER MOORE PTY (A027647),6 / 6,Completed
2026 Hankook Agreement_Gold__HIGHWAY SERVICE CENTRE (A027563),6 / 6,Completed
2026 Hankook Agreement_Gold__LAURIE LOVES TYRES (A027501),6 / 6,Completed
2026 Hankook Agreement_Gold__SUCCESS AUTOCARE (A027321),3 / 5,Pending
2026 Hankook Agreement_Gold__GOLDSTAR TYRES & BATTERIES (A027176),4 / 6,Pending
2026 Hankook Agreement_Gold__YELLOW TYRE AND AUTO SERVICE (A027140),6 / 6,Completed
2026 Hankook Agreement_Gold__LOCKETT TYRES (A026876),4 / 6,Pending
2026 Hankook Agreement_Gold__JOHN MURPHY TYRES & MECHANICAL (A026810),4 / 6,Pending
2026 Hankook Agreement_Gold__PEEL VALLEY TYRES TAMWORTH (A025466),6 / 6,Completed
2026 Hankook Agreement_Gold__BOSCH A.J SERVICE CENTRE (A025306),6 / 6,Completed
2026 Hankook Agreement_Gold__M&M STEFANI PTY (A024947),6 / 6,Completed
2026 Hankook Agreement_Gold__PERFORMANCE TYRES & MORE NAMBOUR (A024699),4 / 6,Pending
2026 Hankook Agreement_Gold__GOODYEAR AUTOCARE HUONVILLE (A024643),6 / 6,Completed
2026 Hankook Agreement_Gold__TYRERIGHT BURNIE (A023461),6 / 6,Completed
2026 Hankook Agreement_Gold__MORNINGTON TYRES (A017115),6 / 6,Completed
2026 Hankook Agreement_Gold__GOODYEAR AUTOCARE ARMIDALE (A016713),6 / 6,Completed
2026 Hankook Agreement_Gold__KEPPEL TYRE AND MECHANICAL (A016649),6 / 6,Completed
2026 Hankook Agreement_Gold__BILL'S TYRE CENTRE (A015720),6 / 6,Completed
2026 Hankook Agreement_Gold__BALRANALD TYRE SERVICE (A015359),6 / 6,Completed
2026 Hankook Agreement_Gold__HAWKESBURY TRUCK TYRES (A015180),6 / 6,Completed
2026 Hankook Agreement_Gold__WALLAN TYRE CENTRE (A012400),6 / 6,Completed
2026 Hankook Agreement_Gold__GROTTS PTY LTD (A012094),6 / 6,Completed
2026 Hankook Agreement_Gold__GLADSTONE VALLEY TYRES (A011634),5 / 6,Pending
2026 Hankook Agreement_Gold__MOMENTUM 4X4 (A010918),6 / 6,Completed
2026 Hankook Agreement_Gold__GLOUCESTER TYRES & AUTO CENTRE (A010721),6 / 6,Completed
2026 Hankook Agreement_Gold__NEWSOMES TYRES AND MECHANICAL SOUTH (A009718),6 / 6,Completed
2026 Hankook Agreement_Gold__GLOBAL TYRES (A009613),4 / 6,Pending
2026 Hankook Agreement_Gold__DJ'S TYRE CENTRE (A008840),4 / 6,Pending
2026 Hankook Agreement_Gold__GP SERVICE AND DISCOUNT TYRES (A008667),6 / 6,Completed
2026 Hankook Agreement_Gold__AUTOSPORT TYRE WORLD MAGILL (A008418),6 / 6,Completed
2026 Hankook Agreement_Gold__TYRE MART AND SERVICES (A008086),4 / 6,Pending
2026 Hankook Agreement_Gold__COMBINED TYRES CUNDERDIN (A007888),6 / 6,Completed
2026 Hankook Agreement_Gold__ROUNDABOUT TYRE AND AUTO (A007335),6 / 6,Completed
2026 Hankook Agreement_Gold__THG TIRES (A007192),4 / 6,Pending
2026 Hankook Agreement_Gold__JAPPO DONKS TYRES WHEELS & BATTERIE (A007188),6 / 6,Completed
2026 Hankook Agreement_Gold__OUYEN TYRE CENTRE (A005553),6 / 6,Completed
2026 Hankook Agreement_Gold__EAST PILBARA TYRES (A004109),6 / 6,Completed
2026 Hankook Agreement_Gold__M & C TYRES (A001641),6 / 6,Completed
2026 Hankook Agreement_Gold__LEEUWIN TYRES (A000037),5 / 5,Completed
2026 Hankook Agreement_Gold__CANOWINDRA TYRE SERVICE (742667),5 / 5,Completed
2026 Hankook Agreement_Gold__TUFF TYRE WANGARATTA (742268),6 / 6,Completed
2026 Hankook Agreement_Gold__WINCHELSEA AUTO SERVICE (739519),6 / 6,Completed
2026 Hankook Agreement_Gold__THE WHEEL SHOP (739205),6 / 6,Completed
2026 Hankook Agreement_Gold__JUNCTION TYRE AUTO SERVICE (737817),6 / 6,Completed
2026 Hankook Agreement_Gold__EXACT ALIGN (737616),4 / 6,Pending
2026 Hankook Agreement_Gold__COOLGARDIE TYRE SERVICE (736634),6 / 6,Completed
2026 Hankook Agreement_Gold__BROOKE DISCOUNT TYRE SERVICE (736532),6 / 6,Completed
2026 Hankook Agreement_Gold__JUST GEORGE FOR TYRES (736362),5 / 5,Completed
2026 Hankook Agreement_Gold__MANJIMUP TYRE MART & AUTO (736242),5 / 5,Completed
2026 Hankook Agreement_Gold__PICTON TYRE CENTRE PTY LTD (736187),5 / 5,Completed
2026 Hankook Agreement_Gold__VELOCITY TYRE & AUTO PTY LTD (735189),6 / 6,Completed
2026 Hankook Agreement_Gold__GOODYEAR AUTO CARE WARRNAMBOOL (734834),6 / 6,Completed
2026 Hankook Agreement_Gold__MAX WILSON TYRES & BATTERIES P_L (733416),6 / 6,Completed
2026 Hankook Agreement_Gold__KOSTERA'S TYRE SERVICE (733197),6 / 6,Completed
2026 Hankook Agreement_Gold__BENDIGO TYRE CENTRE (732868),6 / 6,Completed
2026 Hankook Agreement_Gold__REDPATH TYRE AND BATTERY SERVICE (732762),6 / 6,Completed
2026 Hankook Agreement_Gold__TRANSPORT TYRES (732643),6 / 6,Completed
2026 Hankook Agreement_Gold__RIVIERA TYRE SERVICE P_L (732451),4 / 6,Pending
2026 Hankook Agreement_Gold__D & A SPRING (732426),4 / 6,Pending
2026 Hankook Agreement_Gold__ROMSEY AUTO CARE P_L (732356),6 / 6,Completed
2026 Hankook Agreement_Gold__CITY & RURAL TYRES (732131),6 / 6,Completed
2026 Hankook Agreement_Gold__CENTRAL TYRE SERVICE SHEPPARTON (731996),6 / 6,Completed
2026 Hankook Agreement_Gold__TYREPLUS EASTLAND (731976),6 / 6,Completed
2026 Hankook Agreement_Gold__TONY'S TYRE CENTRE (731715),6 / 6,Completed
2026 Hankook Agreement_Gold__MAG WHEEL TYRE P_L (731641),6 / 6,Completed
2026 Hankook Agreement_Gold__ROAD RUBBER TYRE SERVICE (730273),6 / 6,Completed
2026 Hankook Agreement_Gold__ALL COAST TYRE SOLUTIONS (729723),6 / 6,Completed
2026 Hankook Agreement_Gold__SA MOTORSPORT TYRES (728289),6 / 6,Completed
2026 Hankook Agreement_Gold__TRIDENT TYRE CENTRES P_L (727908),6 / 6,Completed
2026 Hankook Agreement_Gold__CORBETTS TYRE & BATTERY CENTRE (724577),5 / 5,Completed
2026 Hankook Agreement_Gold__VALLEY TYRES - EAST MAITLAND (724410),6 / 6,Completed
2026 Hankook Agreement_Gold__SMITTYS TYRES P_L (724380),6 / 6,Completed
2026 Hankook Agreement_Gold__SINGLETON TYRE (724379),6 / 6,Completed
2026 Hankook Agreement_Gold__JUKES & SONS TYRE CENTRE (724322),6 / 6,Completed
2026 Hankook Agreement_Gold__CLEAVER'S TYRE SERVICE (724265),6 / 6,Completed
